alpha,xsep
-27.0,1.0
-26.0,1.0
-25.0,1.0
-24.0,0.9940340577601507
-23.0,0.9940340577601507
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9841477056361863
-8.0,0.9841477056361863
-7.0,0.9940340577601507
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,0.9940340577601507
16.0,0.9456071479871537
17.0,0.8973373310340239
18.0,0.8152674707140016
19.0,0.7492553503377619
20.0,0.7001945835196449
21.0,0.6356423252188991
22.0,0.5716190943361755
23.0,0.5080654115498184
24.0,0.4453117161187961
25.0,0.35300661848121273
26.0,0.22832629871747778
27.0,0.09479254815606118
