alpha,xsep
-30.0,1.0
-25.0,0.9940340577601507
-24.0,1.0
-23.0,1.0
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9940340577601507
-8.0,0.9940340577601507
-7.0,0.9841477056361863
-6.0,0.9940340577601507
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,1.0
17.0,1.0
18.0,1.0
19.0,0.9729070630031422
20.0,0.9136297808963585
21.0,0.8647460789570158
22.0,0.7987526573775754
23.0,0.7492553503377619
24.0,0.6839945293903026
25.0,0.6195942885526781
26.0,0.5716190943361755
27.0,0.49229933922006747
29.0,0.39915078885193256
30.0,0.30620797335443584
